client_id,month,total_queries,queries_with_data,impressions,clicks,ctr_x100,avg_position,gsc_data_start,is_ai_referral_available,label_visibility_drop,content_quality_index
c007,2025-10,76,41,1909,46,245.71,25.9,2025-04,True,0.0,36.9
c008,2025-03,237,167,3549,78,222.02,5.19,2025-03,False,0.0,44.5
c008,2025-04,199,136,4518,379,839.98,13.29,2025-03,,0.0,49.3
c008,2025-05,244,189,7898,524,663.81,0.0,2025-03,,0.0,68.7
c008,2025-06,219,181,4766,183,384.83,22.07,2025-03,True,0.0,51.6
c008,2025-07,240,198,8956,555,620.0,23.72,2025-03,False,0.0,53.5
c008,2025-08,239,161,3288,253,771.38,34.03,2025-03,False,0.0,54.6
c008,2025-09,215,145,3944,131,333.94,28.88,2025-03,False,0.0,42.4
c008,2025-10,234,166,6061,454,750.62,33.65,2025-03,True,0.0,49.9
c009,2025-03,255,190,2123,67,316.66,16.57,2025-03,False,0.0,79.5
c009,2025-04,227,208,6051,165,273.69,17.77,2025-03,True,0.0,43.5
c009,2025-05,262,226,2506,224,897.22,38.38,2025-03,True,0.0,51.0
c009,2025-06,225,152,2357,206,877.98,18.12,2025-03,False,0.0,68.9
c009,2025-07,254,250,3068,56,183.75,27.04,2025-03,False,1.0,26.3
c009,2025-08,195,116,2283,67,296.36,28.1,2025-03,,0.0,57.8
c009,2025-09,257,201,10026,713,711.57,38.96,2025-03,,0.0,50.0
c009,2025-10,224,182,4599,96,210.26,13.86,2025-03,False,0.0,48.5
c010,2025-04,466,296,8555,146,170.88,28.58,2025-04,False,0.0,44.0
c010,2025-05,564,419,13454,684,508.69,18.17,2025-04,False,0.0,50.2
c010,2025-06,459,351,5438,723,1330.42,12.96,2025-04,,0.0,49.6
c010,2025-07,428,317,8398,519,618.04,10.18,2025-04,,0.0,67.7
c010,2025-08,583,464,20725,746,360.2,24.88,2025-04,True,0.0,64.0
c010,2025-09,552,427,14120,875,619.91,4.06,2025-04,True,0.0,50.5
c010,2025-10,452,375,9528,219,230.04,33.28,2025-04,False,0.0,37.9
c011,2025-01,219,140,5332,319,599.05,6.67,2025-01,False,0.0,42.6
c011,2025-02,234,147,8005,184,230.14,11.08,2025-01,True,0.0,48.1
c011,2025-03,266,209,6573,660,1004.3,4.28,2025-01,False,0.0,56.1
c011,2025-04,252,227,3634,400,1101.45,21.97,2025-01,,0.0,41.4
c011,2025-05,253,167,5384,98,183.11,0.0,2025-01,False,0.0,44.1
c011,2025-06,256,216,7978,306,384.28,11.43,2025-01,True,0.0,70.7
c011,2025-07,229,185,2260,54,242.3,37.25,2025-01,,0.0,63.7
c011,2025-08,249,185,7003,215,308.39,0.0,2025-01,True,0.0,40.6
c011,2025-09,230,170,4390,220,503.37,28.44,2025-01,,0.0,47.6
c011,2025-10,280,239,9300,265,285.29,5.62,2025-01,False,1.0,17.3
c012,2025-01,61,24,1686,81,483.09,24.54,2025-01,False,0.0,60.0
c012,2025-02,56,46,1149,12,110.43,26.4,2025-01,True,0.0,55.5
c012,2025-03,58,35,967,90,940.86,19.73,2025-01,,0.0,34.8
c012,2025-04,48,32,987,42,427.21,15.55,2025-01,False,0.0,66.6
c012,2025-05,61,53,640,99,1559.09,4.77,2025-01,,0.0,36.6
c012,2025-06,52,33,1404,62,446.09,11.83,2025-01,False,0.0,44.6
c012,2025-07,50,37,789,23,294.98,25.6,2025-01,False,1.0,50.6
c012,2025-08,61,36,1072,83,779.36,10.89,2025-01,True,1.0,34.7
c012,2025-09,61,32,1364,85,628.28,29.56,2025-01,False,1.0,31.5
c012,2025-10,59,21,1425,15,105.35,32.63,2025-01,True,0.0,73.6
c013,2025-01,1259,1150,49529,690,139.43,0.0,2025-01,,1.0,33.0
c013,2025-02,1166,583,19858,993,500.41,22.07,2025-01,,1.0,46.1
c013,2025-03,1360,742,29564,366,123.8,22.07,2025-01,False,1.0,35.2
c013,2025-04,1237,733,24519,336,137.35,14.99,2025-01,,0.0,26.0
c013,2025-05,1079,709,40360,810,200.94,34.47,2025-01,False,0.0,66.8
c013,2025-06,967,722,34421,2123,616.96,6.03,2025-01,True,1.0,23.9
c013,2025-07,1232,588,38191,759,198.82,24.6,2025-01,,0.0,58.3
c013,2025-08,1341,1115,47913,650,135.82,36.37,2025-01,False,0.0,65.2
c013,2025-09,1277,1182,50983,1565,307.08,32.38,2025-01,False,0.0,54.7
c013,2025-10,1040,741,13750,679,493.84,18.91,2025-01,False,0.0,39.5
c014,2025-04,3931,2916,82420,3534,428.83,17.29,2025-04,,0.0,58.1
c014,2025-05,4198,3436,102505,4189,408.69,12.59,2025-04,False,0.0,52.9
c014,2025-06,4300,3025,124019,11400,919.28,29.33,2025-04,True,1.0,41.4
c014,2025-07,5569,3012,59192,1724,291.35,0.0,2025-04,False,1.0,18.7
c014,2025-08,5072,2484,144622,744,51.51,4.19,2025-04,True,1.0,38.8
c014,2025-09,5407,3146,194407,17182,883.86,28.1,2025-04,False,0.0,60.1
c014,2025-10,5064,3701,61661,6007,974.22,23.34,2025-04,True,0.0,50.9
c015,2025-02,266,148,3002,110,368.0,31.36,2025-02,,1.0,32.2
c015,2025-03,278,139,10830,33,30.79,9.07,2025-02,True,1.0,26.4
c015,2025-04,347,203,11895,568,477.58,6.43,2025-02,True,0.0,52.6
c015,2025-05,233,148,5443,129,237.29,39.32,2025-02,True,1.0,37.9
c015,2025-06,260,155,2873,152,532.01,15.67,2025-02,True,0.0,46.8
c015,2025-07,236,158,2302,14,61.43,19.21,2025-02,True,1.0,31.3
c015,2025-08,283,121,9333,804,862.01,0.0,2025-02,,0.0,46.1
c015,2025-09,312,237,5433,87,160.53,16.41,2025-02,False,0.0,53.4
c015,2025-10,253,172,7083,168,238.24,4.99,2025-02,False,0.0,47.2
c016,2025-05,723,636,14615,780,533.81,31.88,2025-05,False,0.0,56.7
c016,2025-06,965,649,13427,576,429.41,37.83,2025-05,True,0.0,50.2
c016,2025-07,911,672,23323,363,155.74,20.88,2025-05,False,0.0,48.3
c016,2025-08,839,573,15666,493,314.86,39.7,2025-05,True,1.0,23.8
c016,2025-09,832,391,10609,217,205.46,27.13,2025-05,False,0.0,67.8
c016,2025-10,778,580,23329,32,13.87,9.73,2025-05,False,0.0,50.7
c017,2025-05,875,472,32210,1226,380.7,30.71,2025-05,True,0.0,57.3
c017,2025-06,816,573,24407,923,378.31,11.26,2025-05,,1.0,10.5
c017,2025-07,689,371,7871,267,340.17,20.6,2025-05,True,0.0,51.1
c017,2025-08,871,695,23608,1245,527.41,0.0,2025-05,True,0.0,81.5
c017,2025-09,647,581,24339,2876,1181.76,19.01,2025-05,,0.0,63.3
c017,2025-10,865,708,32971,1380,418.83,34.85,2025-05,True,0.0,73.4
c018,2025-01,354,204,13672,707,517.22,32.75,2025-01,True,1.0,34.8
c018,2025-02,436,227,4041,186,462.71,12.99,2025-01,,0.0,39.8
c018,2025-03,315,220,12430,139,112.38,32.98,2025-01,,0.0,57.0
c018,2025-04,396,349,10823,197,182.93,3.9,2025-01,,0.0,54.6
c018,2025-05,369,285,4365,316,724.97,0.0,2025-01,True,0.0,50.3
c018,2025-06,388,328,9848,388,394.52,31.54,2025-01,True,0.0,54.6
c018,2025-07,440,360,10089,301,299.3,38.37,2025-01,False,0.0,85.8
c018,2025-08,356,343,8839,530,600.39,0.0,2025-01,True,0.0,61.4
c018,2025-09,308,292,8391,281,335.23,17.77,2025-01,True,0.0,50.8
c018,2025-10,413,258,6276,508,810.37,0.0,2025-01,True,0.0,78.0
c019,2025-05,1806,1045,47204,1841,390.14,8.43,2025-05,False,0.0,40.1
c019,2025-06,1762,1073,15960,252,158.33,5.5,2025-05,False,0.0,42.0
c019,2025-07,1692,1024,59877,4895,817.52,14.0,2025-05,True,0.0,29.8
c019,2025-08,2082,1671,36657,1374,374.95,26.28,2025-05,,0.0,49.0
c019,2025-09,2103,1816,80818,1896,234.62,0.0,2025-05,True,0.0,34.6
c019,2025-10,2289,1425,55493,5835,1051.66,14.26,2025-05,True,0.0,34.0
c020,2025-05,193,157,3107,342,1103.71,17.03,2025-05,True,0.0,56.6
c020,2025-06,185,158,5215,273,524.85,21.55,2025-05,False,0.0,59.2
c020,2025-07,182,153,4992,119,240.11,39.55,2025-05,True,0.0,60.2
c020,2025-08,186,123,4850,68,140.84,0.0,2025-05,True,0.0,65.4
c020,2025-09,191,161,7134,509,713.76,11.76,2025-05,False,0.0,43.2
c020,2025-10,165,110,5384,388,722.01,26.65,2025-05,True,0.0,53.9
c021,2025-01,65,30,920,34,373.76,28.93,2025-01,False,0.0,53.0
c021,2025-02,55,40,1235,64,521.98,24.84,2025-01,True,0.0,38.9
c021,2025-03,80,48,2382,127,535.1,19.23,2025-01,True,0.0,72.8
c021,2025-04,73,62,1081,20,190.81,27.94,2025-01,True,0.0,58.5
c021,2025-05,62,54,1290,30,235.51,22.71,2025-01,True,0.0,60.5
c021,2025-06,56,38,1050,13,129.85,24.54,2025-01,,0.0,54.3
c021,2025-07,82,70,2119,208,981.66,20.28,2025-01,True,0.0,75.4
c021,2025-08,59,51,2158,39,184.39,29.84,2025-01,,0.0,74.7
c021,2025-09,80,63,2421,22,94.8,7.98,2025-01,,1.0,23.5
c021,2025-10,73,37,1297,72,558.22,33.79,2025-01,True,0.0,47.6
c022,2025-03,155,131,3225,139,431.1,39.5,2025-03,True,0.0,73.7
c022,2025-04,171,118,5579,14,25.89,18.0,2025-03,True,1.0,39.7
c022,2025-05,119,51,2908,109,375.35,9.45,2025-03,False,0.0,47.5
c022,2025-06,136,98,3361,48,145.68,18.64,2025-03,True,0.0,43.1
c022,2025-07,118,77,4169,61,147.5,6.28,2025-03,True,0.0,80.7
c022,2025-08,144,144,3185,184,580.17,7.43,2025-03,,0.0,52.0
c022,2025-09,167,120,2611,78,302.46,23.2,2025-03,False,1.0,27.9
c022,2025-10,152,59,5421,411,758.44,3.57,2025-03,True,0.0,29.5
c023,2025-02,208,78,2980,18,62.78,19.08,2025-02,True,0.0,56.3
c023,2025-03,217,198,7780,86,111.68,0.0,2025-02,True,0.0,44.4
c023,2025-04,206,153,1996,20,103.86,13.06,2025-02,False,0.0,45.7
c023,2025-05,237,158,2079,58,281.63,25.99,2025-02,,1.0,30.6
c023,2025-06,193,105,7062,443,628.07,12.26,2025-02,False,0.0,51.4
c023,2025-07,233,171,2489,181,730.27,39.23,2025-02,,1.0,34.3
c023,2025-08,239,137,7950,446,561.08,10.46,2025-02,False,0.0,45.5
c023,2025-09,247,176,5248,270,515.78,24.7,2025-02,False,0.0,41.6
c023,2025-10,234,161,7201,255,355.27,4.77,2025-02,True,0.0,46.0
c024,2025-04,347,320,5365,54,101.68,20.94,2025-04,True,0.0,58.5
c024,2025-05,384,382,5714,251,440.34,34.67,2025-04,True,0.0,54.2
c024,2025-06,361,259,11761,388,330.51,28.28,2025-04,False,0.0,65.7
c024,2025-07,336,328,12113,750,619.98,21.21,2025-04,True,0.0,56.2
c024,2025-08,331,268,12247,563,459.74,16.27,2025-04,,1.0,39.0
c024,2025-09,372,205,4765,110,232.82,6.71,2025-04,False,0.0,61.2
c024,2025-10,327,280,10553,208,197.19,8.64,2025-04,False,0.0,71.2
c025,2025-04,1401,1156,24199,352,145.85,10.63,2025-04,False,0.0,57.8
c025,2025-05,1282,801,50476,3981,788.82,0.0,2025-04,,0.0,67.6
c025,2025-06,984,910,32402,1167,360.18,36.4,2025-04,False,0.0,44.3
c025,2025-07,1213,779,23147,1811,782.41,0.0,2025-04,True,1.0,42.1
c025,2025-08,1082,558,32997,627,190.13,34.31,2025-04,True,0.0,59.2
c025,2025-09,1265,1133,40119,3940,982.17,13.77,2025-04,True,0.0,43.1
c025,2025-10,1161,957,40789,1946,477.25,0.0,2025-04,False,0.0,58.0
c026,2025-02,263,137,5287,360,681.68,30.13,2025-02,False,0.0,26.1
c026,2025-03,312,189,5587,58,104.23,5.65,2025-02,False,0.0,49.8
c026,2025-04,287,194,4074,152,375.12,26.71,2025-02,False,1.0,56.7
c026,2025-05,242,137,5419,228,421.83,15.42,2025-02,True,1.0,37.3
c026,2025-06,262,114,3535,143,405.78,6.31,2025-02,True,0.0,68.0
c026,2025-07,301,210,2629,206,786.6,20.74,2025-02,True,0.0,52.1
c026,2025-08,277,230,4891,177,362.92,8.41,2025-02,,0.0,53.2
c026,2025-09,244,176,3121,113,362.87,24.36,2025-02,,1.0,25.9
c026,2025-10,330,141,2946,197,671.12,22.62,2025-02,True,0.0,61.7
c027,2025-04,177,88,1782,105,589.59,12.52,2025-04,,0.0,49.1
c027,2025-05,148,111,3453,156,453.97,29.21,2025-04,,1.0,54.9
c027,2025-06,142,70,1154,2,17.86,15.14,2025-04,,0.0,53.4
c027,2025-07,187,160,5965,203,340.57,25.77,2025-04,False,0.0,57.4
c027,2025-08,185,144,4466,153,343.83,26.43,2025-04,,0.0,56.1
c027,2025-09,150,112,2143,47,222.32,10.86,2025-04,True,0.0,44.8
c027,2025-10,145,118,3593,157,439.59,14.89,2025-04,True,1.0,27.6
c028,2025-04,310,245,9807,440,448.71,36.23,2025-04,,0.0,46.6
c028,2025-05,399,287,14915,967,648.36,25.08,2025-04,,0.0,56.1
c028,2025-06,272,179,5343,187,351.79,3.33,2025-04,,1.0,29.8
c028,2025-07,366,177,3572,471,1320.61,19.19,2025-04,,0.0,51.4
c028,2025-08,279,190,3859,64,166.64,28.97,2025-04,True,0.0,51.7
c028,2025-09,327,236,12915,1111,860.45,4.79,2025-04,,1.0,30.5
c028,2025-10,271,109,10469,234,223.85,15.91,2025-04,,0.0,51.4
c029,2025-04,516,162,7707,223,290.53,32.84,2025-04,True,0.0,59.4
c029,2025-05,563,505,5945,313,527.87,10.76,2025-04,False,0.0,62.5
c029,2025-06,685,463,15223,460,302.52,21.29,2025-04,False,0.0,47.2
c029,2025-07,738,501,16335,1407,861.46,31.4,2025-04,True,1.0,53.0
c029,2025-08,639,383,11108,391,352.87,37.52,2025-04,False,0.0,50.8
c029,2025-09,554,344,11908,848,712.14,11.15,2025-04,,1.0,25.0
c029,2025-10,546,296,13327,1521,1141.4,38.96,2025-04,,0.0,37.8
c030,2025-03,300,178,7883,127,161.12,28.87,2025-03,False,1.0,53.6
c030,2025-04,292,158,9079,383,421.91,16.68,2025-03,,0.0,64.5
c030,2025-05,374,374,14390,273,190.16,29.01,2025-03,,0.0,61.9
c030,2025-06,309,228,6100,288,473.35,19.86,2025-03,True,0.0,55.2
c030,2025-07,362,249,8701,102,117.37,9.96,2025-03,True,1.0,22.1
c030,2025-08,381,210,12773,224,175.45,12.34,2025-03,False,0.0,65.2
c030,2025-09,267,200,6027,65,108.41,7.79,2025-03,False,0.0,54.8
c030,2025-10,351,245,6072,317,522.93,37.35,2025-03,False,0.0,49.2
c031,2025-04,357,192,5539,383,692.18,13.18,2025-04,False,0.0,60.5
c031,2025-05,403,283,12427,967,778.77,0.0,2025-04,False,0.0,37.8
c031,2025-06,370,286,5233,400,765.33,10.7,2025-04,,0.0,82.2
c031,2025-07,416,403,9658,123,127.41,0.0,2025-04,False,0.0,57.6
c031,2025-08,421,310,12893,521,404.74,14.12,2025-04,True,0.0,51.4
c031,2025-09,463,395,10761,280,260.21,0.0,2025-04,True,1.0,42.0
c031,2025-10,350,176,8603,283,329.22,22.27,2025-04,True,0.0,57.1
c032,2025-05,1830,1352,49552,667,134.74,33.81,2025-05,False,1.0,45.1
c032,2025-06,1579,904,60535,1126,186.02,0.0,2025-05,False,0.0,57.4
c032,2025-07,1598,1412,23902,2801,1172.04,37.52,2025-05,True,0.0,52.7
c032,2025-08,2175,1381,35891,1171,326.54,25.01,2025-05,True,0.0,70.7
c032,2025-09,2016,1690,80449,2234,277.74,6.42,2025-05,False,1.0,31.7
c032,2025-10,2183,1015,66668,1881,282.16,30.54,2025-05,True,0.0,61.5
c033,2025-03,205,86,7842,325,415.62,0.0,2025-03,False,0.0,56.9
c033,2025-04,222,141,4505,200,445.52,38.17,2025-03,True,0.0,68.4
c033,2025-05,185,154,1821,17,93.95,14.92,2025-03,,1.0,27.8
c033,2025-06,212,114,5647,131,233.38,3.85,2025-03,False,0.0,40.8
c033,2025-07,216,168,6772,269,398.63,5.11,2025-03,False,1.0,42.6
c033,2025-08,196,104,6707,84,126.49,0.0,2025-03,True,0.0,71.5
c033,2025-09,195,126,4906,24,50.75,17.99,2025-03,True,1.0,26.6
c033,2025-10,236,131,5804,100,172.75,23.36,2025-03,False,0.0,71.1
c034,2025-04,279,258,7686,633,824.76,23.63,2025-04,True,0.0,55.6
c034,2025-05,313,234,11276,135,119.92,27.75,2025-04,True,1.0,53.6
c034,2025-06,253,144,2878,83,291.27,25.5,2025-04,False,0.0,51.7
c034,2025-07,211,157,3015,41,137.51,26.59,2025-04,True,0.0,34.3
c034,2025-08,298,228,4294,274,639.68,39.85,2025-04,True,1.0,50.9
c034,2025-09,245,108,7117,7,10.0,30.71,2025-04,True,0.0,58.8
c034,2025-10,233,162,4549,67,149.16,30.22,2025-04,True,0.0,49.7
c035,2025-04,693,453,19288,525,272.27,0.0,2025-04,False,0.0,60.2
c035,2025-05,773,753,8097,552,681.74,24.31,2025-04,,0.0,51.0
c035,2025-06,894,649,33373,246,73.79,7.88,2025-04,True,0.0,47.4
c035,2025-07,751,538,26517,3023,1140.38,20.32,2025-04,False,0.0,49.6
c035,2025-08,815,495,22480,186,82.95,25.24,2025-04,False,0.0,67.1
c035,2025-09,817,670,19831,434,219.34,37.61,2025-04,True,0.0,53.3
c035,2025-10,746,495,23152,1825,788.29,23.51,2025-04,True,0.0,35.5
c036,2025-01,347,269,5263,117,223.24,16.17,2025-01,,0.0,69.7
c036,2025-02,475,394,18218,235,129.03,15.73,2025-01,False,1.0,12.0
c036,2025-03,493,182,9262,968,1045.93,9.89,2025-01,False,0.0,63.6
c036,2025-04,400,306,4153,210,508.04,30.92,2025-01,False,1.0,48.8
c036,2025-05,423,249,15580,637,409.45,28.33,2025-01,,0.0,60.4
c036,2025-06,336,258,11642,723,621.37,27.61,2025-01,False,0.0,55.7
c036,2025-07,439,376,6101,67,111.17,18.57,2025-01,True,0.0,35.3
c036,2025-08,365,262,8408,694,825.49,19.13,2025-01,,0.0,57.8
c036,2025-09,339,246,12062,437,362.72,34.9,2025-01,False,0.0,30.0
c036,2025-10,378,270,14595,563,385.95,11.27,2025-01,True,1.0,34.5
c037,2025-02,3135,2658,94180,1569,166.62,36.19,2025-02,True,0.0,61.6
c037,2025-03,2499,1997,41848,181,43.42,24.5,2025-02,False,0.0,49.8
c037,2025-04,3432,2395,52986,2974,561.42,37.39,2025-02,True,0.0,81.8
c037,2025-05,3617,3617,89660,5247,585.22,6.26,2025-02,True,0.0,51.4
c037,2025-06,2719,1903,104310,11217,1075.39,8.81,2025-02,True,1.0,56.3
c037,2025-07,2498,1335,83468,6200,742.87,7.28,2025-02,,0.0,21.8
c037,2025-08,3119,2153,115696,3446,297.9,4.18,2025-02,False,0.0,45.0
c037,2025-09,3659,3020,114245,6375,558.09,26.91,2025-02,True,0.0,53.5
c037,2025-10,3105,2948,79042,1635,206.94,26.64,2025-02,False,0.0,44.6
c038,2025-03,213,150,5059,234,463.52,29.34,2025-03,,0.0,62.3
c038,2025-04,143,125,1970,99,505.92,15.83,2025-03,,1.0,40.6
c038,2025-05,164,73,4444,174,392.24,6.63,2025-03,True,1.0,42.0
c038,2025-06,167,99,5269,207,393.4,31.99,2025-03,True,0.0,39.8
c038,2025-07,183,126,2727,117,429.72,4.06,2025-03,False,0.0,37.7
c038,2025-08,202,122,2958,240,812.29,26.25,2025-03,True,1.0,37.5
c038,2025-09,149,73,2833,169,599.5,10.98,2025-03,True,0.0,65.8
c038,2025-10,146,114,2312,37,160.04,12.16,2025-03,False,1.0,10.0
c039,2025-02,1533,923,33334,786,235.95,29.15,2025-02,True,1.0,38.0
c039,2025-03,1602,741,58826,3235,550.09,18.03,2025-02,,1.0,35.6
c039,2025-04,1642,952,14357,611,425.96,17.18,2025-02,False,0.0,57.5
c039,2025-05,1443,1181,49276,968,196.49,8.47,2025-02,False,0.0,40.6
c039,2025-06,1595,1075,37261,3411,915.69,38.29,2025-02,,0.0,53.8
c039,2025-07,1295,1140,48512,2303,474.92,35.34,2025-02,True,0.0,58.6
c039,2025-08,1494,1093,40551,671,165.58,12.69,2025-02,True,1.0,32.5
c039,2025-09,1299,720,15865,290,183.39,33.41,2025-02,,1.0,42.4
c039,2025-10,1155,661,39180,3144,802.47,20.98,2025-02,,0.0,45.9
c040,2025-05,159,131,1653,106,646.13,32.46,2025-05,False,0.0,41.0
c040,2025-06,190,133,6611,444,672.33,36.32,2025-05,False,1.0,21.8
c040,2025-07,198,104,2377,75,315.57,5.07,2025-05,False,0.0,56.8
c040,2025-08,205,163,6911,112,162.39,13.81,2025-05,True,1.0,34.9
c040,2025-09,171,64,4617,81,177.4,0.0,2025-05,True,0.0,50.0
c040,2025-10,156,121,3628,66,182.27,25.68,2025-05,True,0.0,36.8
c041,2025-04,179,142,4948,46,94.54,0.0,2025-04,True,0.0,60.9
c041,2025-05,199,127,6680,605,905.85,38.37,2025-04,False,0.0,49.3
c041,2025-06,225,153,2755,172,627.65,22.28,2025-04,False,1.0,28.7
c041,2025-07,192,74,2968,177,597.18,9.5,2025-04,False,0.0,68.4
c041,2025-08,164,127,1924,26,136.93,21.83,2025-04,False,0.0,63.0
c041,2025-09,204,179,4104,202,493.84,0.0,2025-04,,1.0,26.5
c041,2025-10,172,47,6157,260,423.46,7.99,2025-04,True,0.0,24.7
c042,2025-01,1997,1533,51149,3125,611.04,0.0,2025-01,,0.0,75.6
c042,2025-02,1532,1480,58643,1695,289.04,39.07,2025-01,True,0.0,42.6
c042,2025-03,2089,1740,45786,1251,273.38,15.02,2025-01,True,1.0,16.1
c042,2025-04,1632,616,62646,2929,467.55,18.59,2025-01,False,1.0,51.3
c042,2025-05,1598,937,41656,834,200.43,0.0,2025-01,True,0.0,80.0
c042,2025-06,1738,1634,46745,1205,257.98,26.23,2025-01,,1.0,40.3
c042,2025-07,1703,766,38119,2214,580.99,38.72,2025-01,True,0.0,72.7
c042,2025-08,2148,1497,67125,1151,171.54,36.27,2025-01,True,1.0,41.0
c042,2025-09,1812,1038,44069,2610,592.26,0.0,2025-01,,0.0,55.7
c042,2025-10,1704,1172,21113,1346,637.83,5.91,2025-01,,1.0,15.2
c043,2025-01,519,364,7802,42,54.11,33.45,2025-01,False,1.0,41.7
c043,2025-02,457,200,13163,437,332.29,13.63,2025-01,True,0.0,33.3
c043,2025-03,533,341,19105,1109,580.55,13.8,2025-01,True,1.0,43.6
c043,2025-04,486,200,15752,1045,663.64,39.54,2025-01,True,1.0,26.3
c043,2025-05,579,230,19154,1582,825.98,0.0,2025-01,False,1.0,28.0
c043,2025-06,573,286,17469,2018,1155.69,37.69,2025-01,,0.0,34.1
c043,2025-07,485,307,14908,508,340.86,33.99,2025-01,False,1.0,13.7
c043,2025-08,419,124,12096,660,546.32,37.17,2025-01,True,0.0,41.6
