client_id,month,total_queries,queries_with_data,impressions,clicks,ctr_x100,avg_position,gsc_data_start,is_ai_referral_available,label_visibility_drop,clicks_prev_month,impressions_prev_month,months_of_history
c002,2025-10,469,419,7261,52,72.51,28.51,2025-03,,0.0,358.0,7818.0,7
c002,2025-11,458,279,11618,545,469.59,22.72,2025-03,False,0.0,52.0,7261.0,8
c003,2025-05,299,197,10952,341,312.23,0.0,2025-05,False,0.0,,,0
c003,2025-06,397,348,8857,929,1049.34,7.49,2025-05,False,0.0,341.0,10952.0,1
c003,2025-07,387,283,7410,769,1038.28,0.0,2025-05,,0.0,929.0,8857.0,2
c003,2025-08,371,294,6441,208,324.05,10.59,2025-05,,1.0,769.0,7410.0,3
c003,2025-09,301,170,8106,377,465.17,25.11,2025-05,,0.0,208.0,6441.0,4
c003,2025-10,318,254,4559,321,705.52,6.56,2025-05,True,1.0,377.0,8106.0,5
c003,2025-11,392,151,4503,651,1446.68,37.94,2025-05,True,1.0,321.0,4559.0,6
c004,2025-04,569,360,12798,191,149.32,15.32,2025-04,True,0.0,,,0
c004,2025-05,717,501,23264,254,109.56,36.64,2025-04,,0.0,191.0,12798.0,1
c004,2025-06,619,473,10312,224,217.37,22.73,2025-04,False,0.0,254.0,23264.0,2
c004,2025-07,651,506,7843,629,802.36,4.94,2025-04,,0.0,224.0,10312.0,3
c004,2025-08,778,685,26702,1324,496.03,13.07,2025-04,True,0.0,629.0,7843.0,4
c004,2025-09,717,460,20136,20,10.0,9.94,2025-04,True,0.0,1324.0,26702.0,5
c004,2025-10,786,722,8930,244,273.44,29.98,2025-04,False,0.0,20.0,20136.0,6
c004,2025-11,691,549,17679,395,223.81,37.57,2025-04,,0.0,244.0,8930.0,7
c005,2025-01,3803,1604,51624,1067,206.8,0.0,2025-01,,0.0,,,0
c005,2025-02,3271,2612,105428,1409,133.72,29.69,2025-01,True,0.0,1067.0,51624.0,1
c005,2025-03,3800,3244,84936,1297,152.81,27.19,2025-01,,0.0,1409.0,105428.0,2
c005,2025-04,3473,2790,39489,768,194.61,32.1,2025-01,True,0.0,1297.0,84936.0,3
c005,2025-05,2770,2007,43496,701,161.19,33.64,2025-01,False,0.0,768.0,39489.0,4
c005,2025-06,3331,3294,69633,1433,205.93,0.0,2025-01,True,0.0,701.0,43496.0,5
c005,2025-07,3002,1802,46764,1874,400.74,16.63,2025-01,False,0.0,1433.0,69633.0,6
c005,2025-08,3750,2556,147806,12818,867.26,33.64,2025-01,,1.0,1874.0,46764.0,7
c005,2025-09,3277,1852,75025,6199,826.32,25.0,2025-01,,1.0,12818.0,147806.0,8
c005,2025-10,3420,1934,118876,6284,528.66,6.75,2025-01,False,0.0,6199.0,75025.0,9
c005,2025-11,3380,2508,63111,1256,199.1,38.92,2025-01,True,0.0,6284.0,118876.0,10
c006,2025-04,735,349,17570,957,545.1,0.0,2025-04,True,0.0,,,0
c006,2025-05,710,476,8311,401,483.3,38.29,2025-04,True,0.0,957.0,17570.0,1
c006,2025-06,589,464,22925,701,305.92,4.19,2025-04,False,1.0,401.0,8311.0,2
c006,2025-07,652,303,14610,552,377.9,16.76,2025-04,True,0.0,701.0,22925.0,3
c006,2025-08,565,444,15414,193,125.74,32.39,2025-04,False,1.0,552.0,14610.0,4
c006,2025-09,593,283,17379,580,334.24,0.0,2025-04,False,0.0,193.0,15414.0,5
c006,2025-10,668,421,9568,306,320.62,11.14,2025-04,,0.0,580.0,17379.0,6
c006,2025-11,756,454,24618,2200,893.83,8.67,2025-04,True,1.0,306.0,9568.0,7
c007,2025-04,59,53,1707,30,177.17,0.0,2025-04,True,0.0,,,0
c007,2025-05,65,44,1765,73,417.73,25.21,2025-04,True,0.0,30.0,1707.0,1
c007,2025-06,63,38,1522,75,499.2,11.57,2025-04,,0.0,73.0,1765.0,2
c007,2025-07,68,56,1762,30,171.65,39.73,2025-04,True,0.0,75.0,1522.0,3
c007,2025-08,63,47,1472,72,492.72,9.76,2025-04,True,1.0,30.0,1762.0,4
c007,2025-09,69,29,1726,40,234.35,10.2,2025-04,False,1.0,72.0,1472.0,5
c007,2025-10,76,41,1909,46,245.71,25.9,2025-04,True,0.0,40.0,1726.0,6
c007,2025-11,72,48,2749,26,98.07,10.04,2025-04,True,1.0,46.0,1909.0,7
c008,2025-03,237,167,3549,78,222.02,5.19,2025-03,False,0.0,,,0
c008,2025-04,199,136,4518,379,839.98,13.29,2025-03,,0.0,78.0,3549.0,1
c008,2025-05,244,189,7898,524,663.81,0.0,2025-03,,0.0,379.0,4518.0,2
c008,2025-06,219,181,4766,183,384.83,22.07,2025-03,True,0.0,524.0,7898.0,3
c008,2025-07,240,198,8956,555,620.0,23.72,2025-03,False,0.0,183.0,4766.0,4
c008,2025-08,239,161,3288,253,771.38,34.03,2025-03,False,0.0,555.0,8956.0,5
c008,2025-09,215,145,3944,131,333.94,28.88,2025-03,False,0.0,253.0,3288.0,6
c008,2025-10,234,166,6061,454,750.62,33.65,2025-03,True,0.0,131.0,3944.0,7
c008,2025-11,256,197,10124,355,351.53,30.22,2025-03,True,1.0,454.0,6061.0,8
c009,2025-03,255,190,2123,67,316.66,16.57,2025-03,False,0.0,,,0
c009,2025-04,227,208,6051,165,273.69,17.77,2025-03,True,0.0,67.0,2123.0,1
c009,2025-05,262,226,2506,224,897.22,38.38,2025-03,True,0.0,165.0,6051.0,2
c009,2025-06,225,152,2357,206,877.98,18.12,2025-03,False,0.0,224.0,2506.0,3
c009,2025-07,254,250,3068,56,183.75,27.04,2025-03,False,1.0,206.0,2357.0,4
c009,2025-08,195,116,2283,67,296.36,28.1,2025-03,,0.0,56.0,3068.0,5
c009,2025-09,257,201,10026,713,711.57,38.96,2025-03,,0.0,67.0,2283.0,6
c009,2025-10,224,182,4599,96,210.26,13.86,2025-03,False,0.0,713.0,10026.0,7
c009,2025-11,193,157,5613,37,67.51,4.96,2025-03,False,1.0,96.0,4599.0,8
c010,2025-04,466,296,8555,146,170.88,28.58,2025-04,False,0.0,,,0
c010,2025-05,564,419,13454,684,508.69,18.17,2025-04,False,0.0,146.0,8555.0,1
c010,2025-06,459,351,5438,723,1330.42,12.96,2025-04,,0.0,684.0,13454.0,2
c010,2025-07,428,317,8398,519,618.04,10.18,2025-04,,0.0,723.0,5438.0,3
c010,2025-08,583,464,20725,746,360.2,24.88,2025-04,True,0.0,519.0,8398.0,4
c010,2025-09,552,427,14120,875,619.91,4.06,2025-04,True,0.0,746.0,20725.0,5
c010,2025-10,452,375,9528,219,230.04,33.28,2025-04,False,0.0,875.0,14120.0,6
c010,2025-11,440,312,12637,249,197.72,29.18,2025-04,True,0.0,219.0,9528.0,7
c011,2025-01,219,140,5332,319,599.05,6.67,2025-01,False,0.0,,,0
c011,2025-02,234,147,8005,184,230.14,11.08,2025-01,True,0.0,319.0,5332.0,1
c011,2025-03,266,209,6573,660,1004.3,4.28,2025-01,False,0.0,184.0,8005.0,2
c011,2025-04,252,227,3634,400,1101.45,21.97,2025-01,,0.0,660.0,6573.0,3
c011,2025-05,253,167,5384,98,183.11,0.0,2025-01,False,0.0,400.0,3634.0,4
c011,2025-06,256,216,7978,306,384.28,11.43,2025-01,True,0.0,98.0,5384.0,5
c011,2025-07,229,185,2260,54,242.3,37.25,2025-01,,0.0,306.0,7978.0,6
c011,2025-08,249,185,7003,215,308.39,0.0,2025-01,True,0.0,54.0,2260.0,7
c011,2025-09,230,170,4390,220,503.37,28.44,2025-01,,0.0,215.0,7003.0,8
c011,2025-10,280,239,9300,265,285.29,5.62,2025-01,False,1.0,220.0,4390.0,9
c011,2025-11,239,90,6089,75,124.45,9.1,2025-01,True,0.0,265.0,9300.0,10
c012,2025-01,61,24,1686,81,483.09,24.54,2025-01,False,0.0,,,0
c012,2025-02,56,46,1149,12,110.43,26.4,2025-01,True,0.0,81.0,1686.0,1
c012,2025-03,58,35,967,90,940.86,19.73,2025-01,,0.0,12.0,1149.0,2
c012,2025-04,48,32,987,42,427.21,15.55,2025-01,False,0.0,90.0,967.0,3
c012,2025-05,61,53,640,99,1559.09,4.77,2025-01,,0.0,42.0,987.0,4
c012,2025-06,52,33,1404,62,446.09,11.83,2025-01,False,0.0,99.0,640.0,5
c012,2025-07,50,37,789,23,294.98,25.6,2025-01,False,1.0,62.0,1404.0,6
c012,2025-08,61,36,1072,83,779.36,10.89,2025-01,True,1.0,23.0,789.0,7
c012,2025-09,61,32,1364,85,628.28,29.56,2025-01,False,1.0,83.0,1072.0,8
c012,2025-10,59,21,1425,15,105.35,32.63,2025-01,True,0.0,85.0,1364.0,9
c012,2025-11,62,44,1189,23,196.75,28.93,2025-01,True,1.0,15.0,1425.0,10
c013,2025-01,1259,1150,49529,690,139.43,0.0,2025-01,,1.0,,,0
c013,2025-02,1166,583,19858,993,500.41,22.07,2025-01,,1.0,690.0,49529.0,1
c013,2025-03,1360,742,29564,366,123.8,22.07,2025-01,False,1.0,993.0,19858.0,2
c013,2025-04,1237,733,24519,336,137.35,14.99,2025-01,,0.0,366.0,29564.0,3
c013,2025-05,1079,709,40360,810,200.94,34.47,2025-01,False,0.0,336.0,24519.0,4
c013,2025-06,967,722,34421,2123,616.96,6.03,2025-01,True,1.0,810.0,40360.0,5
c013,2025-07,1232,588,38191,759,198.82,24.6,2025-01,,0.0,2123.0,34421.0,6
c013,2025-08,1341,1115,47913,650,135.82,36.37,2025-01,False,0.0,759.0,38191.0,7
c013,2025-09,1277,1182,50983,1565,307.08,32.38,2025-01,False,0.0,650.0,47913.0,8
c013,2025-10,1040,741,13750,679,493.84,18.91,2025-01,False,0.0,1565.0,50983.0,9
c013,2025-11,1106,681,23487,690,294.07,18.79,2025-01,,0.0,679.0,13750.0,10
c014,2025-04,3931,2916,82420,3534,428.83,17.29,2025-04,,0.0,,,0
c014,2025-05,4198,3436,102505,4189,408.69,12.59,2025-04,False,0.0,3534.0,82420.0,1
c014,2025-06,4300,3025,124019,11400,919.28,29.33,2025-04,True,1.0,4189.0,102505.0,2
c014,2025-07,5569,3012,59192,1724,291.35,0.0,2025-04,False,1.0,11400.0,124019.0,3
c014,2025-08,5072,2484,144622,744,51.51,4.19,2025-04,True,1.0,1724.0,59192.0,4
c014,2025-09,5407,3146,194407,17182,883.86,28.1,2025-04,False,0.0,744.0,144622.0,5
c014,2025-10,5064,3701,61661,6007,974.22,23.34,2025-04,True,0.0,17182.0,194407.0,6
c014,2025-11,5181,3412,92836,2801,301.75,9.24,2025-04,True,0.0,6007.0,61661.0,7
c015,2025-02,266,148,3002,110,368.0,31.36,2025-02,,1.0,,,0
c015,2025-03,278,139,10830,33,30.79,9.07,2025-02,True,1.0,110.0,3002.0,1
c015,2025-04,347,203,11895,568,477.58,6.43,2025-02,True,0.0,33.0,10830.0,2
c015,2025-05,233,148,5443,129,237.29,39.32,2025-02,True,1.0,568.0,11895.0,3
c015,2025-06,260,155,2873,152,532.01,15.67,2025-02,True,0.0,129.0,5443.0,4
c015,2025-07,236,158,2302,14,61.43,19.21,2025-02,True,1.0,152.0,2873.0,5
c015,2025-08,283,121,9333,804,862.01,0.0,2025-02,,0.0,14.0,2302.0,6
c015,2025-09,312,237,5433,87,160.53,16.41,2025-02,False,0.0,804.0,9333.0,7
c015,2025-10,253,172,7083,168,238.24,4.99,2025-02,False,0.0,87.0,5433.0,8
c015,2025-11,319,254,8071,17,22.0,39.23,2025-02,True,0.0,168.0,7083.0,9
c016,2025-05,723,636,14615,780,533.81,31.88,2025-05,False,0.0,,,0
c016,2025-06,965,649,13427,576,429.41,37.83,2025-05,True,0.0,780.0,14615.0,1
c016,2025-07,911,672,23323,363,155.74,20.88,2025-05,False,0.0,576.0,13427.0,2
c016,2025-08,839,573,15666,493,314.86,39.7,2025-05,True,1.0,363.0,23323.0,3
c016,2025-09,832,391,10609,217,205.46,27.13,2025-05,False,0.0,493.0,15666.0,4
c016,2025-10,778,580,23329,32,13.87,9.73,2025-05,False,0.0,217.0,10609.0,5
c016,2025-11,901,618,36008,153,42.63,19.51,2025-05,True,1.0,32.0,23329.0,6
c017,2025-05,875,472,32210,1226,380.7,30.71,2025-05,True,0.0,,,0
c017,2025-06,816,573,24407,923,378.31,11.26,2025-05,,1.0,1226.0,32210.0,1
c017,2025-07,689,371,7871,267,340.17,20.6,2025-05,True,0.0,923.0,24407.0,2
c017,2025-08,871,695,23608,1245,527.41,0.0,2025-05,True,0.0,267.0,7871.0,3
c017,2025-09,647,581,24339,2876,1181.76,19.01,2025-05,,0.0,1245.0,23608.0,4
c017,2025-10,865,708,32971,1380,418.83,34.85,2025-05,True,0.0,2876.0,24339.0,5
c017,2025-11,751,578,17199,473,275.39,8.46,2025-05,False,0.0,1380.0,32971.0,6
c018,2025-01,354,204,13672,707,517.22,32.75,2025-01,True,1.0,,,0
c018,2025-02,436,227,4041,186,462.71,12.99,2025-01,,0.0,707.0,13672.0,1
c018,2025-03,315,220,12430,139,112.38,32.98,2025-01,,0.0,186.0,4041.0,2
c018,2025-04,396,349,10823,197,182.93,3.9,2025-01,,0.0,139.0,12430.0,3
c018,2025-05,369,285,4365,316,724.97,0.0,2025-01,True,0.0,197.0,10823.0,4
c018,2025-06,388,328,9848,388,394.52,31.54,2025-01,True,0.0,316.0,4365.0,5
c018,2025-07,440,360,10089,301,299.3,38.37,2025-01,False,0.0,388.0,9848.0,6
c018,2025-08,356,343,8839,530,600.39,0.0,2025-01,True,0.0,301.0,10089.0,7
c018,2025-09,308,292,8391,281,335.23,17.77,2025-01,True,0.0,530.0,8839.0,8
c018,2025-10,413,258,6276,508,810.37,0.0,2025-01,True,0.0,281.0,8391.0,9
c018,2025-11,442,387,9063,239,264.78,26.86,2025-01,True,1.0,508.0,6276.0,10
c019,2025-05,1806,1045,47204,1841,390.14,8.43,2025-05,False,0.0,,,0
c019,2025-06,1762,1073,15960,252,158.33,5.5,2025-05,False,0.0,1841.0,47204.0,1
c019,2025-07,1692,1024,59877,4895,817.52,14.0,2025-05,True,0.0,252.0,15960.0,2
c019,2025-08,2082,1671,36657,1374,374.95,26.28,2025-05,,0.0,4895.0,59877.0,3
c019,2025-09,2103,1816,80818,1896,234.62,0.0,2025-05,True,0.0,1374.0,36657.0,4
c019,2025-10,2289,1425,55493,5835,1051.66,14.26,2025-05,True,0.0,1896.0,80818.0,5
c019,2025-11,2401,1670,90741,2025,223.25,4.52,2025-05,,0.0,5835.0,55493.0,6
c020,2025-05,193,157,3107,342,1103.71,17.03,2025-05,True,0.0,,,0
c020,2025-06,185,158,5215,273,524.85,21.55,2025-05,False,0.0,342.0,3107.0,1
c020,2025-07,182,153,4992,119,240.11,39.55,2025-05,True,0.0,273.0,5215.0,2
c020,2025-08,186,123,4850,68,140.84,0.0,2025-05,True,0.0,119.0,4992.0,3
c020,2025-09,191,161,7134,509,713.76,11.76,2025-05,False,0.0,68.0,4850.0,4
c020,2025-10,165,110,5384,388,722.01,26.65,2025-05,True,0.0,509.0,7134.0,5
c020,2025-11,203,139,6148,22,36.64,16.71,2025-05,True,0.0,388.0,5384.0,6
c021,2025-01,65,30,920,34,373.76,28.93,2025-01,False,0.0,,,0
c021,2025-02,55,40,1235,64,521.98,24.84,2025-01,True,0.0,34.0,920.0,1
c021,2025-03,80,48,2382,127,535.1,19.23,2025-01,True,0.0,64.0,1235.0,2
c021,2025-04,73,62,1081,20,190.81,27.94,2025-01,True,0.0,127.0,2382.0,3
c021,2025-05,62,54,1290,30,235.51,22.71,2025-01,True,0.0,20.0,1081.0,4
c021,2025-06,56,38,1050,13,129.85,24.54,2025-01,,0.0,30.0,1290.0,5
c021,2025-07,82,70,2119,208,981.66,20.28,2025-01,True,0.0,13.0,1050.0,6
c021,2025-08,59,51,2158,39,184.39,29.84,2025-01,,0.0,208.0,2119.0,7
c021,2025-09,80,63,2421,22,94.8,7.98,2025-01,,1.0,39.0,2158.0,8
c021,2025-10,73,37,1297,72,558.22,33.79,2025-01,True,0.0,22.0,2421.0,9
c021,2025-11,57,37,1301,30,234.41,21.48,2025-01,True,0.0,72.0,1297.0,10
c022,2025-03,155,131,3225,139,431.1,39.5,2025-03,True,0.0,,,0
c022,2025-04,171,118,5579,14,25.89,18.0,2025-03,True,1.0,139.0,3225.0,1
c022,2025-05,119,51,2908,109,375.35,9.45,2025-03,False,0.0,14.0,5579.0,2
c022,2025-06,136,98,3361,48,145.68,18.64,2025-03,True,0.0,109.0,2908.0,3
c022,2025-07,118,77,4169,61,147.5,6.28,2025-03,True,0.0,48.0,3361.0,4
c022,2025-08,144,144,3185,184,580.17,7.43,2025-03,,0.0,61.0,4169.0,5
c022,2025-09,167,120,2611,78,302.46,23.2,2025-03,False,1.0,184.0,3185.0,6
c022,2025-10,152,59,5421,411,758.44,3.57,2025-03,True,0.0,78.0,2611.0,7
c022,2025-11,157,100,4300,612,1424.69,10.42,2025-03,True,0.0,411.0,5421.0,8
c023,2025-02,208,78,2980,18,62.78,19.08,2025-02,True,0.0,,,0
c023,2025-03,217,198,7780,86,111.68,0.0,2025-02,True,0.0,18.0,2980.0,1
c023,2025-04,206,153,1996,20,103.86,13.06,2025-02,False,0.0,86.0,7780.0,2
c023,2025-05,237,158,2079,58,281.63,25.99,2025-02,,1.0,20.0,1996.0,3
c023,2025-06,193,105,7062,443,628.07,12.26,2025-02,False,0.0,58.0,2079.0,4
c023,2025-07,233,171,2489,181,730.27,39.23,2025-02,,1.0,443.0,7062.0,5
c023,2025-08,239,137,7950,446,561.08,10.46,2025-02,False,0.0,181.0,2489.0,6
c023,2025-09,247,176,5248,270,515.78,24.7,2025-02,False,0.0,446.0,7950.0,7
c023,2025-10,234,161,7201,255,355.27,4.77,2025-02,True,0.0,270.0,5248.0,8
c023,2025-11,215,161,8005,131,164.26,25.57,2025-02,False,0.0,255.0,7201.0,9
c024,2025-04,347,320,5365,54,101.68,20.94,2025-04,True,0.0,,,0
c024,2025-05,384,382,5714,251,440.34,34.67,2025-04,True,0.0,54.0,5365.0,1
c024,2025-06,361,259,11761,388,330.51,28.28,2025-04,False,0.0,251.0,5714.0,2
c024,2025-07,336,328,12113,750,619.98,21.21,2025-04,True,0.0,388.0,11761.0,3
c024,2025-08,331,268,12247,563,459.74,16.27,2025-04,,1.0,750.0,12113.0,4
c024,2025-09,372,205,4765,110,232.82,6.71,2025-04,False,0.0,563.0,12247.0,5
c024,2025-10,327,280,10553,208,197.19,8.64,2025-04,False,0.0,110.0,4765.0,6
c024,2025-11,335,309,8429,17,21.32,36.14,2025-04,True,0.0,208.0,10553.0,7
c025,2025-04,1401,1156,24199,352,145.85,10.63,2025-04,False,0.0,,,0
c025,2025-05,1282,801,50476,3981,788.82,0.0,2025-04,,0.0,352.0,24199.0,1
c025,2025-06,984,910,32402,1167,360.18,36.4,2025-04,False,0.0,3981.0,50476.0,2
c025,2025-07,1213,779,23147,1811,782.41,0.0,2025-04,True,1.0,1167.0,32402.0,3
c025,2025-08,1082,558,32997,627,190.13,34.31,2025-04,True,0.0,1811.0,23147.0,4
c025,2025-09,1265,1133,40119,3940,982.17,13.77,2025-04,True,0.0,627.0,32997.0,5
c025,2025-10,1161,957,40789,1946,477.25,0.0,2025-04,False,0.0,3940.0,40119.0,6
c025,2025-11,1428,1075,19455,392,201.97,11.66,2025-04,False,0.0,1946.0,40789.0,7
c026,2025-02,263,137,5287,360,681.68,30.13,2025-02,False,0.0,,,0
c026,2025-03,312,189,5587,58,104.23,5.65,2025-02,False,0.0,360.0,5287.0,1
c026,2025-04,287,194,4074,152,375.12,26.71,2025-02,False,1.0,58.0,5587.0,2
c026,2025-05,242,137,5419,228,421.83,15.42,2025-02,True,1.0,152.0,4074.0,3
c026,2025-06,262,114,3535,143,405.78,6.31,2025-02,True,0.0,228.0,5419.0,4
c026,2025-07,301,210,2629,206,786.6,20.74,2025-02,True,0.0,143.0,3535.0,5
c026,2025-08,277,230,4891,177,362.92,8.41,2025-02,,0.0,206.0,2629.0,6
c026,2025-09,244,176,3121,113,362.87,24.36,2025-02,,1.0,177.0,4891.0,7
c026,2025-10,330,141,2946,197,671.12,22.62,2025-02,True,0.0,113.0,3121.0,8
c026,2025-11,297,250,2763,95,346.62,32.67,2025-02,,0.0,197.0,2946.0,9
c027,2025-04,177,88,1782,105,589.59,12.52,2025-04,,0.0,,,0
c027,2025-05,148,111,3453,156,453.97,29.21,2025-04,,1.0,105.0,1782.0,1
c027,2025-06,142,70,1154,2,17.86,15.14,2025-04,,0.0,156.0,3453.0,2
c027,2025-07,187,160,5965,203,340.57,25.77,2025-04,False,0.0,2.0,1154.0,3
c027,2025-08,185,144,4466,153,343.83,26.43,2025-04,,0.0,203.0,5965.0,4
c027,2025-09,150,112,2143,47,222.32,10.86,2025-04,True,0.0,153.0,4466.0,5
c027,2025-10,145,118,3593,157,439.59,14.89,2025-04,True,1.0,47.0,2143.0,6
c027,2025-11,195,82,3171,137,432.23,30.9,2025-04,False,1.0,157.0,3593.0,7
c028,2025-04,310,245,9807,440,448.71,36.23,2025-04,,0.0,,,0
c028,2025-05,399,287,14915,967,648.36,25.08,2025-04,,0.0,440.0,9807.0,1
c028,2025-06,272,179,5343,187,351.79,3.33,2025-04,,1.0,967.0,14915.0,2
c028,2025-07,366,177,3572,471,1320.61,19.19,2025-04,,0.0,187.0,5343.0,3
c028,2025-08,279,190,3859,64,166.64,28.97,2025-04,True,0.0,471.0,3572.0,4
c028,2025-09,327,236,12915,1111,860.45,4.79,2025-04,,1.0,64.0,3859.0,5
c028,2025-10,271,109,10469,234,223.85,15.91,2025-04,,0.0,1111.0,12915.0,6
c028,2025-11,395,300,14380,313,217.7,21.07,2025-04,,0.0,234.0,10469.0,7
c029,2025-04,516,162,7707,223,290.53,32.84,2025-04,True,0.0,,,0
c029,2025-05,563,505,5945,313,527.87,10.76,2025-04,False,0.0,223.0,7707.0,1
c029,2025-06,685,463,15223,460,302.52,21.29,2025-04,False,0.0,313.0,5945.0,2
c029,2025-07,738,501,16335,1407,861.46,31.4,2025-04,True,1.0,460.0,15223.0,3
c029,2025-08,639,383,11108,391,352.87,37.52,2025-04,False,0.0,1407.0,16335.0,4
c029,2025-09,554,344,11908,848,712.14,11.15,2025-04,,1.0,391.0,11108.0,5
c029,2025-10,546,296,13327,1521,1141.4,38.96,2025-04,,0.0,848.0,11908.0,6
c029,2025-11,630,410,17699,803,454.01,9.8,2025-04,False,0.0,1521.0,13327.0,7
c030,2025-03,300,178,7883,127,161.12,28.87,2025-03,False,1.0,,,0
c030,2025-04,292,158,9079,383,421.91,16.68,2025-03,,0.0,127.0,7883.0,1
c030,2025-05,374,374,14390,273,190.16,29.01,2025-03,,0.0,383.0,9079.0,2
c030,2025-06,309,228,6100,288,473.35,19.86,2025-03,True,0.0,273.0,14390.0,3
c030,2025-07,362,249,8701,102,117.37,9.96,2025-03,True,1.0,288.0,6100.0,4
c030,2025-08,381,210,12773,224,175.45,12.34,2025-03,False,0.0,102.0,8701.0,5
c030,2025-09,267,200,6027,65,108.41,7.79,2025-03,False,0.0,224.0,12773.0,6
c030,2025-10,351,245,6072,317,522.93,37.35,2025-03,False,0.0,65.0,6027.0,7
c030,2025-11,266,165,8956,385,429.95,5.85,2025-03,False,1.0,317.0,6072.0,8
c031,2025-04,357,192,5539,383,692.18,13.18,2025-04,False,0.0,,,0
c031,2025-05,403,283,12427,967,778.77,0.0,2025-04,False,0.0,383.0,5539.0,1
c031,2025-06,370,286,5233,400,765.33,10.7,2025-04,,0.0,967.0,12427.0,2
c031,2025-07,416,403,9658,123,127.41,0.0,2025-04,False,0.0,400.0,5233.0,3
c031,2025-08,421,310,12893,521,404.74,14.12,2025-04,True,0.0,123.0,9658.0,4
c031,2025-09,463,395,10761,280,260.21,0.0,2025-04,True,1.0,521.0,12893.0,5
c031,2025-10,350,176,8603,283,329.22,22.27,2025-04,True,0.0,280.0,10761.0,6
c031,2025-11,371,355,11780,587,498.53,0.0,2025-04,False,0.0,283.0,8603.0,7
c032,2025-05,1830,1352,49552,667,134.74,33.81,2025-05,False,1.0,,,0
c032,2025-06,1579,904,60535,1126,186.02,0.0,2025-05,False,0.0,667.0,49552.0,1
c032,2025-07,1598,1412,23902,2801,1172.04,37.52,2025-05,True,0.0,1126.0,60535.0,2
c032,2025-08,2175,1381,35891,1171,326.54,25.01,2025-05,True,0.0,2801.0,23902.0,3
c032,2025-09,2016,1690,80449,2234,277.74,6.42,2025-05,False,1.0,1171.0,35891.0,4
c032,2025-10,2183,1015,66668,1881,282.16,30.54,2025-05,True,0.0,2234.0,80449.0,5
c032,2025-11,1955,1565,64960,4274,658.04,7.92,2025-05,False,0.0,1881.0,66668.0,6
c033,2025-03,205,86,7842,325,415.62,0.0,2025-03,False,0.0,,,0
c033,2025-04,222,141,4505,200,445.52,38.17,2025-03,True,0.0,325.0,7842.0,1
c033,2025-05,185,154,1821,17,93.95,14.92,2025-03,,1.0,200.0,4505.0,2
c033,2025-06,212,114,5647,131,233.38,3.85,2025-03,False,0.0,17.0,1821.0,3
c033,2025-07,216,168,6772,269,398.63,5.11,2025-03,False,1.0,131.0,5647.0,4
c033,2025-08,196,104,6707,84,126.49,0.0,2025-03,True,0.0,269.0,6772.0,5
c033,2025-09,195,126,4906,24,50.75,17.99,2025-03,True,1.0,84.0,6707.0,6
c033,2025-10,236,131,5804,100,172.75,23.36,2025-03,False,0.0,24.0,4906.0,7
c033,2025-11,241,201,8289,293,354.23,11.58,2025-03,True,0.0,100.0,5804.0,8
c034,2025-04,279,258,7686,633,824.76,23.63,2025-04,True,0.0,,,0
